368;die Ignoranz;ignorance, disregard, neglect
369;implementieren;implement, execute, carry out
370;die Implementierung;implementation, execution, carrying out
371;individuell;individual, personal, unique
372;die Individualität;individuality, personality, uniqueness
373;informieren;inform, tell, notify
374;die Information;information, news, data
375;inhaltlich;content-related, substantive, in content
376;der Inhalt;content, substance, subject matter
377;innovativ;innovative, creative, inventive
378;die Innovation;innovation, creativity, invention
379;integrieren;integrate, incorporate, combine
380;die Integration;integration, incorporation, combination
381;intensiv;intensive, concentrated, focused
382;die Intensität;intensity, concentration, focus
383;interessieren,sich interessieren;be interested in, care about, be concerned with
384;das Interesse;interest, concern, curiosity
385;interpretieren;interpret, explain, understand
386;die Interpretation;interpretation, explanation, understanding
387;investieren;invest, sink money, put money
388;die Investition;investment, commitment, sinking money
389;irgendwie;somehow, in some way, one way or another
390;jedoch;however, but, nevertheless
391;kaum;hardly, scarcely, barely
392;klären;clarify, clear up, explain
393;die Klärung;clarification, clearing up, explanation
394;komplex;complex, complicated, intricate
395;die Komplexität;complexity, complication, intricacy
396;konkret;concrete, specific, tangible
397;die Konkurrenz;competition, competitor, rivalry
398;konsequent;consistent, logical, consequential
399;die Konsequenz;consequence, result, aftermath
400;kontinuierlich;continuous, constant, uninterrupted
